epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.9114,1.78268,3.97676,1.9035,0.20276,0.20635,0.17842,0.11147,1.70419,3.21426,1.88846,0.00110418,0.000368061,0.00110418,0.000368061,0.00110418,0.000368061,0.00110418,0.000368061
2,191.655,1.48798,2.72874,1.67842,0.39283,0.37947,0.37276,0.27618,1.44202,2.35636,1.61814,0.00219325,0.000731085,0.00219325,0.000731085,0.00219325,0.000731085,0.00219325,0.000731085
3,259.229,1.32228,2.10599,1.52301,0.45595,0.48672,0.46988,0.34951,1.31979,1.90691,1.4816,0.00326033,0.00108678,0.00326033,0.00108678,0.00326033,0.00108678,0.00326033,0.00108678
4,324.174,1.24263,1.7483,1.44381,0.53807,0.53366,0.5128,0.38357,1.28445,1.72064,1.42999,0.00323401,0.001078,0.00323401,0.001078,0.00323401,0.001078,0.00323401,0.001078
5,388.549,1.19886,1.57791,1.39977,0.59048,0.55809,0.54963,0.41731,1.28014,1.67833,1.43021,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
6,452.58,1.15627,1.4511,1.35246,0.58645,0.58151,0.5741,0.43053,1.26697,1.57282,1.40371,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,529.728,1.11083,1.35631,1.31597,0.60787,0.58308,0.58859,0.43637,1.27046,1.53816,1.40953,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,593.312,1.10778,1.30144,1.32002,0.64319,0.60784,0.60907,0.44473,1.25525,1.48233,1.40691,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,657.811,1.08168,1.23334,1.29846,0.64715,0.60293,0.61358,0.46102,1.23642,1.46645,1.37739,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,721.645,1.07792,1.21139,1.28038,0.66066,0.63261,0.63214,0.46764,1.25812,1.43971,1.39939,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,785.436,1.03698,1.13287,1.26082,0.62289,0.63592,0.62401,0.46519,1.28155,1.41974,1.4192,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,850.948,1.02784,1.10058,1.24722,0.68423,0.61594,0.64192,0.47793,1.24863,1.41182,1.39321,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,915.457,1.00752,1.06208,1.23873,0.68089,0.62799,0.64339,0.47668,1.27313,1.41283,1.41336,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,979.565,0.97599,1.02221,1.21533,0.68638,0.61397,0.62957,0.46356,1.29732,1.46598,1.44314,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,1056.33,0.97238,0.99385,1.20939,0.67667,0.62273,0.63757,0.47927,1.24642,1.40236,1.39306,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,1120.55,0.966,0.97267,1.20288,0.68612,0.63509,0.6476,0.48345,1.25979,1.38938,1.40636,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,1250.42,0.94967,0.93156,1.18334,0.69005,0.62038,0.6306,0.46669,1.29176,1.43603,1.42304,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,1315.19,0.9613,0.94136,1.19487,0.67641,0.6402,0.6505,0.48708,1.25502,1.41292,1.39102,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,1379.47,0.9309,0.89664,1.17734,0.69846,0.62509,0.64957,0.4822,1.28148,1.37723,1.42116,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,1443.61,0.92629,0.88455,1.17724,0.69974,0.63359,0.66217,0.49553,1.27641,1.37329,1.41178,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
21,1507.49,0.90982,0.85651,1.16238,0.72701,0.636,0.65972,0.4937,1.26466,1.37867,1.41596,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
22,1572.27,0.90844,0.84733,1.15971,0.67906,0.65807,0.65063,0.48459,1.29558,1.41886,1.44227,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
23,1652.52,0.89717,0.83071,1.15282,0.70345,0.64479,0.65695,0.49523,1.27099,1.38226,1.40791,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
24,2214.45,0.89332,0.80913,1.14084,0.70922,0.65154,0.65359,0.48961,1.2733,1.37976,1.40865,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025
25,2283.98,0.87973,0.80459,1.14052,0.65709,0.65133,0.64485,0.48613,1.28282,1.39421,1.4419,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
26,12991.5,0.87892,0.79179,1.13113,0.69849,0.64689,0.65558,0.48834,1.29736,1.425,1.43399,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027
27,13072.5,0.8802,0.79152,1.13641,0.69973,0.63058,0.64653,0.48859,1.28653,1.40216,1.42234,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
28,13140.6,0.85531,0.75249,1.11722,0.74837,0.61542,0.66792,0.50463,1.28997,1.36346,1.43085,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403
29,13205.1,0.8502,0.7445,1.11843,0.68888,0.66578,0.66383,0.50137,1.28795,1.41868,1.43608,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
