epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.828,1.70837,3.64494,1.87234,0.46821,0.29797,0.27357,0.19892,1.52715,2.64821,1.73956,0.00110418,0.000368061,0.00110418,0.000368061,0.00110418,0.000368061,0.00110418,0.000368061
2,346.889,1.37054,2.23302,1.57283,0.52852,0.47757,0.46578,0.357,1.31427,1.84581,1.46554,0.00219325,0.000731085,0.00219325,0.000731085,0.00219325,0.000731085,0.00219325,0.000731085
3,560.655,1.24332,1.74687,1.43471,0.584,0.55568,0.55278,0.40641,1.26481,1.62473,1.39672,0.00326033,0.00108678,0.00326033,0.00108678,0.00326033,0.00108678,0.00326033,0.00108678
4,734.424,1.19332,1.53587,1.38208,0.56175,0.57751,0.54967,0.40669,1.25057,1.61061,1.39153,0.00323401,0.001078,0.00323401,0.001078,0.00323401,0.001078,0.00323401,0.001078
5,942.65,1.16199,1.41853,1.35804,0.59658,0.61325,0.60018,0.44617,1.26529,1.4886,1.39765,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
6,1108.26,1.13045,1.33054,1.32269,0.65317,0.60854,0.61975,0.46351,1.23138,1.49218,1.35963,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,1276.92,1.09039,1.24686,1.29207,0.67578,0.58926,0.63062,0.47941,1.2131,1.39886,1.35598,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,1448.11,1.08588,1.20559,1.28448,0.64001,0.62195,0.63233,0.47381,1.24816,1.41859,1.374,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,1638.86,1.06637,1.16502,1.27021,0.65912,0.6205,0.63006,0.48164,1.20571,1.41437,1.34087,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,1805.04,1.06524,1.12679,1.25875,0.69409,0.61532,0.64121,0.48376,1.21642,1.36687,1.35739,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,1988.44,1.02809,1.07292,1.2475,0.65534,0.62197,0.64843,0.48665,1.25901,1.39672,1.38921,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,2189.52,1.00454,1.03517,1.2245,0.68104,0.62692,0.65576,0.49412,1.23775,1.36231,1.39514,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,2386.8,1.00354,0.99765,1.22287,0.70853,0.64589,0.66214,0.49702,1.2578,1.33007,1.38642,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,2583.2,0.9749,0.97089,1.19716,0.67626,0.66035,0.66122,0.48432,1.2854,1.36382,1.4275,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,2762.61,0.96217,0.92861,1.19101,0.67799,0.64811,0.67291,0.49768,1.27962,1.35946,1.41274,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,2973.98,0.95503,0.93046,1.18932,0.70488,0.6422,0.6577,0.49465,1.25179,1.33898,1.38484,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,3173.01,0.94816,0.88474,1.17133,0.6862,0.65781,0.6594,0.49522,1.25818,1.34715,1.38609,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,3367.13,0.94694,0.88072,1.17346,0.70543,0.64578,0.66441,0.49928,1.2496,1.33435,1.38897,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,3531.37,0.9206,0.8474,1.15472,0.74335,0.65078,0.68805,0.51215,1.26368,1.29434,1.40637,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,3709.71,0.92878,0.83871,1.16443,0.67903,0.64448,0.65377,0.4903,1.2904,1.38069,1.41144,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
21,3894.81,0.90578,0.80876,1.14701,0.73208,0.64056,0.67504,0.50522,1.27274,1.33826,1.42707,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
22,4079.69,0.89894,0.79409,1.14276,0.71604,0.65606,0.67477,0.50742,1.28515,1.35864,1.42896,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
23,4240.78,0.89364,0.78519,1.14341,0.71069,0.65168,0.67131,0.50642,1.28484,1.35068,1.42426,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
