epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.565,2.03442,3.04617,1.9429,0.05898,0.06518,0.01747,0.00497,2.99382,63.1059,3.07089,0.00107667,0.00107667,0.0677433
2,262.347,2.12584,2.92629,2.00721,0.47479,0.13646,0.05904,0.01913,2.81347,4.54955,2.76475,0.0020532,0.0020532,0.0351808
3,455.847,2.04069,2.82302,1.94769,0.34883,0.18981,0.09632,0.02935,2.69985,3.83354,2.56084,0.00291065,0.00291065,0.00291065
4,659.121,1.97418,2.69508,1.89021,0.25103,0.24302,0.20701,0.1045,2.41487,3.26901,2.34354,0.00275097,0.00275097,0.00275097
5,872.618,1.90217,2.52667,1.82952,0.49878,0.35176,0.3064,0.17244,2.10704,2.6857,2.04683,0.0025913,0.0025913,0.0025913
6,1101.51,1.85062,2.43487,1.78351,0.67922,0.29596,0.31905,0.21075,1.9731,2.7559,1.98496,0.00243162,0.00243162,0.00243162
7,1351.18,1.79087,2.36331,1.73804,0.35902,0.36171,0.33205,0.20262,2.10836,2.69674,2.07768,0.00227195,0.00227195,0.00227195
8,1553,1.7342,2.2793,1.70242,0.36034,0.42493,0.39744,0.26086,1.86301,2.29952,1.79525,0.00211227,0.00211227,0.00211227
9,1760.53,1.70096,2.19489,1.66072,0.44812,0.41983,0.39603,0.25649,1.9397,2.36951,1.86859,0.0019526,0.0019526,0.0019526
10,1981.75,1.65523,2.11607,1.63414,0.4668,0.43557,0.42973,0.29171,1.79282,2.2311,1.78207,0.00179292,0.00179292,0.00179292
11,2191.74,1.75898,2.25698,1.74276,0.43955,0.43449,0.39732,0.26567,1.82281,2.25111,1.77999,0.00163325,0.00163325,0.00163325
12,2346.1,1.71774,2.1448,1.71534,0.63859,0.41269,0.4196,0.29226,1.80502,2.26663,1.7832,0.00147357,0.00147357,0.00147357
13,2519.37,1.68793,2.12081,1.69386,0.50926,0.47077,0.48017,0.33018,1.70309,2.0894,1.66632,0.0013139,0.0013139,0.0013139
14,2711.35,1.65211,2.03969,1.67937,0.55389,0.44953,0.45228,0.32136,1.6825,2.08333,1.68699,0.00115422,0.00115422,0.00115422
15,2867.48,1.60707,1.96621,1.65149,0.55958,0.47402,0.48467,0.34366,1.65276,2.00313,1.65021,0.000994549,0.000994549,0.000994549
16,3025.74,1.55913,1.89677,1.60013,0.53975,0.47581,0.4985,0.36338,1.60522,1.92571,1.60396,0.000834874,0.000834874,0.000834874
17,3205.13,1.51622,1.8313,1.56687,0.63943,0.52071,0.53949,0.3914,1.53887,1.78839,1.56375,0.000675199,0.000675199,0.000675199
18,3400.8,1.49145,1.75821,1.55086,0.58093,0.53067,0.53237,0.38367,1.56092,1.8321,1.57024,0.000515524,0.000515524,0.000515524
19,3612.17,1.4381,1.69031,1.50748,0.63136,0.52588,0.56522,0.40971,1.49449,1.70621,1.5189,0.000355849,0.000355849,0.000355849
20,3761.52,1.39717,1.63264,1.47577,0.62653,0.54371,0.56347,0.41169,1.49435,1.69941,1.51622,0.000196174,0.000196174,0.000196174
