fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.29868,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.30958,0.01,0.01,0.94678,0.0,3.00053,0.56255,7.49721,0.50542,1.49955,0.00263,0.88026,0.42398,0.0,0.10539,0.49509,0.0,0.0,0.0,0.50588,0.00962,1.0,0.0,0.0,0.00409,9
0.3034,0.01,0.01,0.94932,0.00023,3.01535,0.56827,8.51787,0.45408,1.48995,0.00832,0.8789,0.3583,0.0057,0.10262,0.49466,0.00376,0.0,0.00261,0.55864,0.01248,0.99741,0.0095,0.00766,0.00404,9
0.2763,0.0074,0.01,0.9234,0.00012,3.01573,0.56625,6.52375,0.48982,1.61474,0.0042,0.87974,0.62447,0.00342,0.11025,0.48405,0.00439,0.001,0.0,0.53732,0.01215,1.0,0.00147,0.00754,0.00409,9
0.23797,0.01,0.01353,0.96682,0.001,4.211,0.55848,7.44759,0.3852,1.56525,0.00196,0.82335,0.45091,0.00274,0.09935,0.49278,0.00859,0.001,0.00145,0.39717,0.0,0.82121,0.00216,0.0,0.00929,9
0.27584,0.01,0.01,0.84632,2e-05,3.01589,0.37888,7.71989,0.50058,1.49732,0.01151,0.74524,0.45361,0.00645,0.09895,0.40516,0.00473,0.0,0.00299,0.51871,0.0,0.99944,0.00785,0.00831,0.00104,9
0.26923,0.00755,0.01,0.93013,0.00042,3.0156,0.76049,7.28971,0.49237,1.77535,0.02328,0.8552,0.65461,0.00588,0.10925,0.48773,0.00448,0.001,0.00292,0.40772,0.01079,1.0,0.00177,0.0,0.0,10
0.33437,0.00801,0.01,0.80584,0.00018,3.54111,0.54783,7.33243,0.60212,1.50515,0.00019,0.65377,0.33082,0.00115,0.09952,0.66773,0.00499,0.00024,0.0012,0.65475,0.0,1.0,0.01036,0.00841,0.00257,10
0.27678,0.01,0.01969,0.81978,0.00034,3.63577,0.76411,6.59249,0.34939,1.53228,0.00782,0.81578,0.37238,0.00422,0.08606,0.54033,0.00508,0.00028,0.00275,0.57811,0.00733,0.99915,0.0,0.00462,0.0,6
0.29416,0.00858,0.01096,0.91937,0.0002,2.91379,0.61124,5.7878,0.26478,1.58849,0.01092,0.71666,0.66387,0.0,0.11678,0.6657,0.00504,0.00016,0.00123,0.5345,0.01065,1.0,0.00477,0.00999,0.00023,7
0.15116,0.01,0.0179,0.87819,0.0,3.45768,0.71385,9.42183,0.31145,1.36314,0.00426,0.60882,0.46357,0.0045,0.10048,0.52549,0.00254,0.001,0.0002,0.5725,0.0,0.80245,0.00363,0.00724,0.00397,10
0.27163,0.00963,0.01,0.7995,0.00016,2.53394,0.5678,7.19244,0.63973,1.57791,0.01583,0.74717,0.55457,0.00544,0.0978,0.69836,0.00513,0.00055,0.00298,0.43193,0.00062,0.99877,0.01004,0.00903,0.0,9
0.30919,0.00677,0.01063,0.85911,0.00022,3.07861,0.64631,6.2589,0.27066,1.56129,0.0024,0.74622,0.49401,0.00141,0.10229,0.68465,0.00111,0.00022,0.00152,0.63812,0.00029,0.94455,0.00922,0.00723,0.00329,9
0.37275,0.00533,0.01032,0.928,0.00015,4.287,0.57679,7.13398,0.50629,1.21813,0.0002,0.88264,0.50794,0.0043,0.10763,0.56319,0.00141,0.00021,0.00138,0.63847,0.01245,0.73722,0.01182,0.00411,0.00447,8
0.36519,0.00577,0.01,0.94567,0.00023,4.4112,0.57838,4.7442,0.33468,1.60344,0.00626,0.53613,0.44762,0.00552,0.1005,0.66917,0.00118,0.0001,0.00047,0.53432,0.01104,0.70763,0.0029,0.0,0.00071,9
0.29421,0.00945,0.01023,0.92896,0.00035,3.21017,0.54901,5.2353,0.27529,1.26436,0.01675,0.69142,0.46487,0.00074,0.1011,0.80122,0.00153,0.00017,0.00106,0.56149,0.00597,1.0,0.01337,0.0,0.00428,9
0.26893,0.01,0.01,0.88482,9e-05,4.28441,0.64047,8.03233,0.33072,1.60576,0.00314,0.54969,0.49061,0.00242,0.09652,0.60463,0.00339,0.00024,0.00046,0.58537,0.0,1.0,0.01345,0.0,0.00338,10
0.34932,0.00477,0.01,0.91013,0.00022,2.96681,0.57805,7.47484,0.32365,1.34369,0.00498,0.53907,0.44546,0.00125,0.10843,0.47215,0.00147,0.00024,0.00101,0.54578,0.0,0.90604,0.00122,0.00238,0.00228,7
0.41169,0.00323,0.0113,0.8611,0.00024,2.98448,0.58406,8.24142,0.51136,1.46722,0.00972,0.80999,0.60578,0.0053,0.12537,0.56251,0.00143,6e-05,0.00188,0.37567,0.00586,1.0,0.01481,0.00307,0.00299,10
0.41427,0.00342,0.01146,0.86404,0.00024,3.66601,0.52076,5.9784,0.54084,1.57168,0.0,0.88134,0.55633,0.00454,0.12484,0.61734,0.00125,0.00015,0.00166,0.61695,0.00466,0.96805,0.01171,0.0026,0.00502,7
